CREF ;CDETALLE ;IDFAMILIA ;CFORMATO ;LKIT ;LPESO ;NBENEFPVP ;NCOSTEDIV ;NCOSTEPROM ;NPCONIVA ;NPVP ;NSTOCKMAX ;NSTOCKMIN 
80.INTELL.12;CLIMATIZADOR VIESA INTELLIGENT 12 ( 14 CM. DE GROSOR);80;;0;0;0;603,85;603,85;1215,4;1030;0;0
80.LIQUIDOMULT;LIQUIDO MULTIPROPOSITO;80;;0;0;0;0;0;4,13;3,5;0;0
80.MICROTECLADO VI;MICROTECLADO PARA VIESA;80;;0;0;0;25;0;41,3;35;0;0
80.PASTILLA.VIESA;PASTILLA PARA VIESA (EN ENVASE UNITARIO);80;;0;0;0;13,3;0;27,14;23;0;0
80VI0001;CLIMATIZADOR VIESA ECON (LLEVA MANDO A DISTANCIA);80;;0;0;0;412;691,16;1109,2;940;0;0
80VI0002 INTELIGEN;CLIMATIZADOR VIESA INTELIGENT PLUS(MANDO A DISTANCIA PROGRAMABLE);80;;0;0;0;0;0;1180;1000;0;0
80VI0003;CLIMATIZADOR VIESA X-TREME (PARA MAQUINAS);80;;0;0;0;637;637;1174,1;995;0;0
81BD0001;BIELA DE DESCONEXION REF. 3321060;81;;0;0;40;2,94;2,94;4,8616;4,12;0;0
81CC0001;MANDO COMPLETO CC-1.00 N-1;81;;0;0;30;53,67;53,67;82,3286;69,77;0;0
81CC0002;MANDO COMPLETO CC-1.25 N-1;81;;0;0;30;55,11;55,11;84,547;71,65;0;0
81CC0003;MANDO COMPLETO CC-1.50 N-1;81;;0;0;30;56,53;56,53;86,7182;73,49;0;0
81CC0004;MANDO COMPLETO CC-1.65 N-1;81;;0;0;30;57,38;57,38;88,028;74,6;0;0
81CC0005;MANDO COMPLETO CC-1.75 N-1;81;;0;0;30;57,97;57,97;88,9248;75,36;0;0
81CC0006;MANDO COMPLETO CC-1.85 N-1;81;;0;0;30;58,54;58,54;90,7774;76,93;0;0
81CC0007;MANDO COMPLETO CC-2.00 N-1;81;;0;0;30;59,38;59,38;91,0842;77,19;0;0
81CC0008;MANDO COMPLETO CC-2.25 N-1;81;;0;0;30;60,81;60,81;93,279;79,05;0;0
81CC0009;MANDO COMPLETO CC-2.50 N-1;81;;0;0;30;70,61;62,23;95,4738;80,91;0;0
81CC0010;MANDO COMPLETO CC-2.75 N-1;81;;0;0;30;63,68;63,68;97,6804;82,78;0;0
81CC0011;MANDO COMPLETO CC-3.00 N-1;81;;0;0;30;65,09;65,09;99,8516;84,62;0;0
81CC0012;MANDO COMPLETO CC-3.25 N-1;81;;0;0;30;66,52;66,52;102,0346;86,47;0;0
81CC0013;MANDO COMPLETO CC-3.50 N-1;81;;0;0;30;67,94;67,94;104,2294;88,33;0;0
81CC0014;MANDO COMPLETO CC-3.75 N-1;81;;0;0;30;69,39;69,39;106,4478;90,21;0;0
81CC0015;MANDO COMPLETO CC-4.00 N-1;81;;0;0;30;70,59;70,59;108,2886;91,77;0;0
81FG0001;GUARDAPOLVOS PARA CABLE SIRGA (MANDOS EN ALTO GRUA);81;;0;0;0;4,35;2,94;11,21;9,5;0;0
81MC0001;MANDOS CABINA OLESA;81;;0;0;10;87,15;87,15;134,3902;113,89;0;0
81PA0001;PALANCA PARA CABLE DE MANDO PARA GRUAS SOBRE CAMION;81;;0;0;30;28,55;28,55;43,7898;37,11;0;0
81PO0001;POMO ( ROJO O NEGRO );81;;0;0;40;2,98;2,98;4,897;4,15;0;0
83CA0004;CADENA CINCADA DE 4MM;83;;0;0;30;3,94;3,94;6,0416;5,12;0;0
84EN0100;ENGRASADOR RECTO 10/100;84;;0;0;50;0,19;0,19;0,354;0,3;0;0
84EN90150;ENGRASADOR 90? 10/150;84;;0;0;30;0,48;0,48;0,7434;0,63;0;0
84ENO150;ENGRASADOR RECTO 10/150;84;;0;0;30;0,23;0,23;0,3422;0,29;0;0
85SJ0516;SUJETACABLES 5/16;85;;0;0;30;0,28;0,28;0,4248;0,36;0;0
86CA0067;CABLE ACERO GALVANIZADO PLASTIFICADO 6 X 7 + 1;86;;0;0;30;1,05;1,05;1,6048;1,36;0;0
86CABLE 8X6900;CABLE COMPLETO DE ACERO DE 6.900 M.M. X 8 PARA PLATAFORMA;86;;0;0;0;48,78;0;77,3136;65,52;0;0
87.ROD.DOBLE;RODAMIENTO DOBLE CON PLETINA PARA CARRIL DE 50 GALVANIZADO;87;;0;0;0;1,38;1,38;4,779;4,05;0;0
87.RODILL.TRASERO;RODILLO TRASERO PARA LONA SIN SOPORTE;87;;0;0;0;34,66;34,66;51,1412;43,34;0;0
87.RODILLOCONTENED;RODILLO PARA CONTENEDOR DE 160 M.M.DIAMETRO;87;;0;0;0;36;0;55,224;46,8;0;0
87RAC008;RODAMIENTO DIAM.30 M-8 ARQUILLADA CORREDERA;87;;0;0;50;1,11;1,11;5,31;4,5;0;0
87RAC0010;RODAMIENTO DIAM.35 M-10 ARQUILLO CORREDERO;87;;0;0;50;1,11;1,11;5,782;4,9;0;0
87ROCGANCHO;ROCE DE GANCHO DE CARNE (PLASTICO DE COLOR BLANCO);87;;0;0;0;0;0;2,9;2,5;0;0
87ROD.DOBLE;RODAMIENTO DOBLE CON PLETINA;87;;0;0;0;3,62;1,98;10,62;9;0;0
87RODILL.CONTENEDO;RODILLO PARA CONTENEDOR DE 20O M.M. DE DIAMETRO;87;;0;0;0;42;0;63,366;53,7;0;0
87RODILLOCONTEN100;RODILLO PARA CONTENEDOR DE 100 M.M. DE DIAMETRO;87;;0;0;0;21;21;41,3;35;0;0
88.ACTUADORELECTRI;ACTUADOR ELECTRICO KES5 BAYONETA;88;;0;0;0;95,89;95,89;174,0854;147,53;0;0
88.AIRPLUSJ.CORTES;AIR PLUS 12 O 24 V. PARA TDF. (J.CORTES);88;;0;0;0;0;0;253,7;215;0;0
88.COMPRESORAIRPLU;AIR PLUS DE 12 V. PARA T.D.F.(KIT NEUMATICO DE PRESION ) INDAGRO;88;;0;0;0;181,23;115,83;328,9958;278,81;0;0
88.HORQUIL.ZF;HORQUILLA TOMA FUERZA;88;;0;0;0;19,12;0;41,3;35;0;0
88.PI?ONDESP.;PI?ON DESPLAZABLE PARA TOMA DE FUERZA;88;;0;0;0;34,86;34,86;72,1688;61,16;0;0
88B0EN15;BOMBA ENGRANAJES, CAUDAL 15 L.;88;;0;0;0;0;0;194,5584;164,88;0;0
88B0EN25;BOMBA ENGRANAJES, CAUDAL 25 L.;88;;0;0;0;0;0;197,8742;167,69;0;0
88B0EN36;BOMBA ENGRANAJES, CAUDAL 36 L.;88;;0;0;0;0;0;260,072;220,4;0;0
88B0EN46;BOMBA ENGRANAJES, CAUDAL 46 L.;88;;0;0;0;0;0;271,636;230,2;0;0
88B0EN55;BOMBA ENGRANAJES, CAUDAL 55 L.;88;;0;0;0;0;0;277,8428;235,46;0;0
88B04P24;BOMBA 4 PISTONES, CAUDAL 24 L.;88;;0;0;0;0;0;353,705;299,75;0;0
88B06P36;BOMBA 6 PISTONES, CAUDAL 36 L.;88;;0;0;0;0;0;417,012;353,4;0;0
88B08P48;BOMBA 8 PISTONES, CAUDAL 48 L.;88;;0;0;0;0;0;541,0654;458,53;0;0
88B10P60;BOMBA 10 PISTONES, CAUDAL 60 L.;88;;0;0;0;0;0;629,235;533,25;0;0
88B12P72;BOMBA 12 PISTONES, CAUDAL 72 L.;88;;0;0;0;0;0;721,393;611,35;0;0
88B060L0;BOMBA 60L CARCARASA 45? MONODIR;88;;0;0;0;386,21;386,21;771,9324;654,18;0;0
88B0540;BOMBA 5 PISTONES, 40 L;88;;0;0;5;406;406;503,034;426,3;0;0
88BEAP15;BOMBA ENGRANAJES 15L. ALTA PRES.;88;;0;0;0;0;0;388,2554;329,03;0;0
88BEAP25;BOMBA ENGRANAJES 25L. ALTA PRES.;88;;0;0;0;0;0;393,6716;333,62;0;0
